[2025-06-24 06:08:01]   37 | INFO     | Received request for single data prediction.
[2025-06-24 06:08:01]   70 | INFO     | Creating DataFrame from input values...
[2025-06-24 06:08:01]   88 | INFO     | Input DataFrame created with shape: (1, 12)
[2025-06-24 06:08:01]   15 | INFO     | Starting prediction process...
[2025-06-24 06:08:01]   18 | INFO     | Loading preprocessor from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-24 06:08:01]   21 | INFO     | Loading model from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-24 06:08:01]   25 | INFO     | Transforming input features...
[2025-06-24 06:08:01]   28 | INFO     | Performing prediction...
[2025-06-24 06:08:01]   31 | INFO     | Prediction completed successfully.
[2025-06-24 06:08:01]   58 | INFO     | Prediction result: 41.17
