[2025-06-22 18:09:27]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 18:09:27]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 18:09:27]   96 | INFO     | Batch prediction completed.
[2025-06-22 18:09:53]   90 | INFO     | CSV uploaded for batch prediction: raw_data.csv
[2025-06-22 18:09:53]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 18:09:53]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 18:09:53]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 18:09:53]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 18:09:53]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:09:53]   51 | INFO     | Loading model...
[2025-06-22 18:09:53]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:09:54]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 18:09:54]   63 | INFO     | Applying feature engineering...
[2025-06-22 18:09:54]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:09:54]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:09:54]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:09:54]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:09:54]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:09:54]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:09:54]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:09:54]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:09:54]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:09:54]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:09:54]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 18:09:54]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
[2025-06-22 18:09:55]   79 | INFO     | Data after dropping target saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\transformed\features_dropped_target.csv
[2025-06-22 18:09:55]   82 | INFO     | Applying preprocessing transformation...
[2025-06-22 18:09:55]   84 | INFO     | Preprocessing completed. Transformed shape: (41944, 42)
[2025-06-22 18:09:55]   87 | INFO     | Generating predictions...
[2025-06-22 18:09:56]   95 | INFO     | Batch predictions saved to: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\prediction_csv\output.csv
[2025-06-22 18:09:56]   97 | INFO     | Batch prediction pipeline completed successfully.
[2025-06-22 18:09:56]   96 | INFO     | Batch prediction completed.
[2025-06-22 18:10:34]   90 | INFO     | CSV uploaded for batch prediction: raw_data.csv
[2025-06-22 18:10:34]   36 | INFO     | Batch prediction pipeline started.
[2025-06-22 18:10:34]   39 | INFO     | Loading feature engineering pipeline...
[2025-06-22 18:10:34]   42 | INFO     | Loaded feature engineering object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\feature_eng.pkl
[2025-06-22 18:10:34]   45 | INFO     | Loading preprocessor pipeline...
[2025-06-22 18:10:34]   48 | INFO     | Loaded preprocessor object from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\data tranformation models\preprocessor.pkl
[2025-06-22 18:10:34]   51 | INFO     | Loading model...
[2025-06-22 18:10:34]   53 | INFO     | Model loaded from: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:10:34]   60 | INFO     | Raw input saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\raw_input\input_data.csv
[2025-06-22 18:10:34]   63 | INFO     | Applying feature engineering...
[2025-06-22 18:10:34]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 18:10:34]   61 | DEBUG    | Dropping ID column...
[2025-06-22 18:10:34]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 18:10:34]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 18:10:34]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 18:10:34]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 18:10:34]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 18:10:34]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 18:10:34]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 18:10:34]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 18:10:35]   69 | INFO     | Feature engineered data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\batch_prediction\feature_eng\feature_engineered.csv
[2025-06-22 18:10:35]   74 | INFO     | Dropped target column 'Time_taken (min)' from features.
