[2025-06-22 00:30:07]    7 | INFO     | Starting the Pipeline...
[2025-06-22 00:30:07]   10 | INFO     | Starting data ingestion...
[2025-06-22 00:30:07]   68 | INFO     | Running the Data Ingestion Pipeline...
[2025-06-22 00:30:07]   24 | INFO     | Data Ingestion process started.
[2025-06-22 00:30:07]   25 | DEBUG    | Configuration used: DataIngestionConfig(raw_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_00-30-06\\raw_data.csv', train_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_00-30-06\\train.csv', test_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\2025-06-22_00-30-06\\test.csv', data_link='https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv')
[2025-06-22 00:30:07]   29 | DEBUG    | Ensured directory exists for raw data path: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-30-06\raw_data.csv
[2025-06-22 00:30:07]   32 | INFO     | Downloading data from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv
[2025-06-22 00:30:10]   12 | INFO     | Data downloaded successfully from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv and saved to C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-30-06\raw_data.csv
[2025-06-22 00:30:10]   34 | INFO     | Data downloaded successfully.
[2025-06-22 00:30:10]   37 | DEBUG    | Reading the raw CSV data...
[2025-06-22 00:30:10]   39 | INFO     | Raw data read successfully with shape: (45584, 20)
[2025-06-22 00:30:10]   42 | INFO     | Splitting raw data into training and test sets...
[2025-06-22 00:30:10]   44 | INFO     | Data split: Train Shape = (36467, 20), Test Shape = (9117, 20)
[2025-06-22 00:30:10]   49 | DEBUG    | Output directories verified.
[2025-06-22 00:30:10]   53 | INFO     | Train data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-30-06\train.csv
[2025-06-22 00:30:10]   54 | INFO     | Test data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\2025-06-22_00-30-06\test.csv
[2025-06-22 00:30:10]   56 | INFO     | Data Ingestion completed successfully.
[2025-06-22 00:30:10]   70 | INFO     | Data Ingestion Pipeline completed.
[2025-06-22 00:30:10]   12 | INFO     | Data ingestion completed.
[2025-06-22 00:30:10]   15 | INFO     | Starting data transformation...
[2025-06-22 00:30:10]  156 | INFO     | Starting full data transformation process...
[2025-06-22 00:30:10]  159 | DEBUG    | Train shape: (36467, 20), Test shape: (9117, 20)
[2025-06-22 00:30:10]  147 | INFO     | Creating feature engineering pipeline...
[2025-06-22 00:30:10]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 00:30:10]   61 | DEBUG    | Dropping ID column...
[2025-06-22 00:30:10]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 00:30:10]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 00:30:10]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 00:30:10]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 00:30:10]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 00:30:10]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 00:30:11]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 00:30:11]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 00:30:11]   59 | INFO     | Initiating feature engineering on dataset...
[2025-06-22 00:30:11]   61 | DEBUG    | Dropping ID column...
[2025-06-22 00:30:11]   64 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-22 00:30:11]   68 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-22 00:30:11]   27 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-22 00:30:11]   45 | INFO     | Distance column successfully calculated and added.
[2025-06-22 00:30:11]   73 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-22 00:30:11]   76 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-22 00:30:11]   79 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-22 00:30:11]   84 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-22 00:30:11]  104 | INFO     | Creating data transformation pipeline...
[2025-06-22 00:30:11]  113 | DEBUG    | Defined column groups. Ordinal: ['Weather_conditions', 'Road_traffic_density'], Numerical: ['Delivery_person_Age', 'Delivery_person_Ratings', 'Vehicle_condition', 'multiple_deliveries', 'distance'], Categorical: ['Type_of_order', 'Type_of_vehicle', 'Festival', 'City', 'Delivery_person_City']
[2025-06-22 00:30:11]  138 | INFO     | Data transformation pipelines created successfully.
[2025-06-22 00:30:11]  173 | DEBUG    | Fitting and transforming training data...
[2025-06-22 00:30:11]  175 | DEBUG    | Transforming testing data...
[2025-06-22 00:30:12]  190 | INFO     | Data transformation pipeline completed and artifacts saved.
[2025-06-22 00:30:12]   19 | INFO     | Data transformation completed.
[2025-06-22 00:30:12]   20 | INFO     | Preprocessor object saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Transformation\2025-06-22_00-30-06\data tranformation models\preprocessor.pkl
[2025-06-22 00:30:12]   22 | INFO     | Pipeline execution completed successfully.
