[2025-06-22 18:43:59]   71 | INFO     | Evaluation completed for Ridge with Test R2: 0.5224
[2025-06-22 18:43:59]   35 | INFO     | Starting GridSearchCV for: ElasticNet
[2025-06-22 18:44:07]   41 | INFO     | Best params for ElasticNet: {'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 1000}
[2025-06-22 18:44:10]   45 | INFO     | Model ElasticNet trained with best parameters.
[2025-06-22 18:44:10]   71 | INFO     | Evaluation completed for ElasticNet with Test R2: 0.5225
[2025-06-22 18:44:10]   35 | INFO     | Starting GridSearchCV for: KNeighborsRegressor
[2025-06-22 18:44:14]   41 | INFO     | Best params for KNeighborsRegressor: {'n_neighbors': 7, 'weights': 'distance'}
[2025-06-22 18:44:14]   45 | INFO     | Model KNeighborsRegressor trained with best parameters.
[2025-06-22 18:44:17]   71 | INFO     | Evaluation completed for KNeighborsRegressor with Test R2: 0.4819
[2025-06-22 18:44:17]   35 | INFO     | Starting GridSearchCV for: DecisionTreeRegressor
[2025-06-22 18:44:18]   41 | INFO     | Best params for DecisionTreeRegressor: {'criterion': 'friedman_mse', 'max_depth': 10}
[2025-06-22 18:44:18]   45 | INFO     | Model DecisionTreeRegressor trained with best parameters.
[2025-06-22 18:44:18]   71 | INFO     | Evaluation completed for DecisionTreeRegressor with Test R2: 0.7706
[2025-06-22 18:44:18]   35 | INFO     | Starting GridSearchCV for: RandomForestRegressor
[2025-06-22 18:45:25]   41 | INFO     | Best params for RandomForestRegressor: {'bootstrap': True, 'max_depth': None, 'n_estimators': 100}
[2025-06-22 18:45:40]   45 | INFO     | Model RandomForestRegressor trained with best parameters.
[2025-06-22 18:45:40]   71 | INFO     | Evaluation completed for RandomForestRegressor with Test R2: 0.8064
[2025-06-22 18:45:40]   35 | INFO     | Starting GridSearchCV for: GradientBoostingRegressor
[2025-06-22 18:47:58]   41 | INFO     | Best params for GradientBoostingRegressor: {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}
[2025-06-22 18:48:07]   45 | INFO     | Model GradientBoostingRegressor trained with best parameters.
[2025-06-22 18:48:07]   71 | INFO     | Evaluation completed for GradientBoostingRegressor with Test R2: 0.8049
[2025-06-22 18:48:07]   35 | INFO     | Starting GridSearchCV for: XGBRegressor
[2025-06-22 18:50:21]   41 | INFO     | Best params for XGBRegressor: {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150, 'reg_alpha': 1, 'reg_lambda': 1}
[2025-06-22 18:50:21]   45 | INFO     | Model XGBRegressor trained with best parameters.
[2025-06-22 18:50:21]   71 | INFO     | Evaluation completed for XGBRegressor with Test R2: 0.8057
[2025-06-22 18:50:21]   73 | INFO     | All models evaluated successfully.
[2025-06-22 18:50:21]   90 | INFO     | Finding the best performing model based on test R2 score...
[2025-06-22 18:50:21]   96 | INFO     | Best model: RandomForestRegressor with test R2 score: 0.8064
[2025-06-22 18:50:21]   97 | INFO     | Hyperparameters used: {'n_estimators': [50, 100], 'max_depth': [None, 10], 'bootstrap': [True, False]}
[2025-06-22 18:50:21]   99 | INFO     | Saving the best model object...
[2025-06-22 18:50:21]  101 | INFO     | Model saved successfully at C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\model.pkl
[2025-06-22 18:50:21]  109 | INFO     | {'best_model_name': 'RandomForestRegressor', 'best_model_score': 0.8064436394062444, 'best_model_params': {'n_estimators': [50, 100], 'max_depth': [None, 10], 'bootstrap': [True, False]}, 'metrics_report': {'LinearRegression': {'train_r2_score': 0.5304521264494316, 'test_r2_score': 0.5223603896641009, 'train_mae_score': 5.102744050835708, 'test_mae_score': 5.145289362485762, 'train_mse_score': 41.285133810595205, 'test_mse_score': 42.18988418447293, 'train_rmse_score': 6.4253508706214015, 'test_rmse_score': 6.4953740603965935, 'best_params': {}}, 'Lasso': {'train_r2_score': 0.5291079198658752, 'test_r2_score': 0.5230082277707329, 'train_mae_score': 5.113611679349487, 'test_mae_score': 5.144433114774559, 'train_mse_score': 41.40332356673565, 'test_mse_score': 42.1326606751625, 'train_rmse_score': 6.434541441838388, 'test_rmse_score': 6.490967622409043, 'best_params': {'alpha': 0.1, 'max_iter': 1000}}, 'Ridge': {'train_r2_score': 0.5304521264470954, 'test_r2_score': 0.5223604079852326, 'train_mae_score': 5.102744193969675, 'test_mae_score': 5.145289347939065, 'train_mse_score': 41.285133810800616, 'test_mse_score': 42.18988256616822, 'train_rmse_score': 6.425350870637386, 'test_rmse_score': 6.495373935822958, 'best_params': {'alpha': 0.1, 'solver': 'auto'}}, 'ElasticNet': {'train_r2_score': 0.5304296146704754, 'test_r2_score': 0.5224773712606247, 'train_mae_score': 5.1031856999815535, 'test_mae_score': 5.144846080616589, 'train_mse_score': 41.28711316532956, 'test_mse_score': 42.17955120558623, 'train_rmse_score': 6.425504895751739, 'test_rmse_score': 6.494578601078459, 'best_params': {'alpha': 0.01, 'l1_ratio': 0.5, 'max_iter': 1000}}, 'KNeighborsRegressor': {'train_r2_score': 0.9999815071375, 'test_r2_score': 0.4818971124192969, 'train_mae_score': 0.00040347410777749246, 'test_mae_score': 5.323220006281295, 'train_mse_score': 0.0016259903321083457, 'test_mse_score': 45.76400354924243, 'train_rmse_score': 0.04032357042857621, 'test_rmse_score': 6.764909722179774, 'best_params': {'n_neighbors': 7, 'weights': 'distance'}}, 'DecisionTreeRegressor': {'train_r2_score': 0.8055651642477548, 'test_r2_score': 0.770573299513823, 'train_mae_score': 3.2584733970069024, 'test_mae_score': 3.5252600413045925, 'train_mse_score': 17.095739675643618, 'test_mse_score': 20.26524960007083, 'train_rmse_score': 4.134699466181746, 'test_rmse_score': 4.501694081128885, 'best_params': {'criterion': 'friedman_mse', 'max_depth': 10}}, 'RandomForestRegressor': {'train_r2_score': 0.973585346444342, 'test_r2_score': 0.8064436394062444, 'train_mae_score': 1.1918076078314452, 'test_mae_score': 3.2381877082341743, 'train_mse_score': 2.322516122498013, 'test_mse_score': 17.096824174351497, 'train_rmse_score': 1.5239803550236508, 'test_rmse_score': 4.134830610115909, 'best_params': {'bootstrap': True, 'max_depth': None, 'n_estimators': 100}}, 'GradientBoostingRegressor': {'train_r2_score': 0.8274581153316724, 'test_r2_score': 0.8048886894579211, 'train_mae_score': 3.1151435879370744, 'test_mae_score': 3.304240644527557, 'train_mse_score': 15.170795562546683, 'test_mse_score': 17.234172829724265, 'train_rmse_score': 3.8949705470705016, 'test_rmse_score': 4.151406126811043, 'best_params': {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}}, 'XGBRegressor': {'train_r2_score': 0.8275973682659199, 'test_r2_score': 0.805703676475131, 'train_mae_score': 3.105802632714569, 'test_mae_score': 3.288735965386508, 'train_mse_score': 15.158551707664628, 'test_mse_score': 17.16218506505008, 'train_rmse_score': 3.893398477893655, 'test_rmse_score': 4.142726766883145, 'best_params': {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150, 'reg_alpha': 1, 'reg_lambda': 1}}}}
[2025-06-22 18:50:21]  117 | INFO     | Report saved successfully at C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Model_Training\report.json
[2025-06-22 18:50:22]   30 | INFO     | Model training completed.
[2025-06-22 18:50:22]   32 | INFO     | Pipeline execution completed successfully.
