[2025-06-24 05:29:09]   15 | INFO     | Starting the Pipeline...
[2025-06-24 05:29:09]   17 | INFO     | Starting data ingestion...
[2025-06-24 05:29:09]   74 | INFO     | Running the Data Ingestion Pipeline...
[2025-06-24 05:29:09]   30 | INFO     | Data Ingestion process started.
[2025-06-24 05:29:09]   31 | DEBUG    | Configuration used: DataIngestionConfig(raw_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\raw_data.csv', train_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\train.csv', test_data_path='C:\\Projects\\Zomato-Delivery-Time-Prediction\\Artifacts\\Data_Ingestion\\test.csv', data_link='https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv')
[2025-06-24 05:29:09]   35 | DEBUG    | Ensured directory exists for raw data path: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\raw_data.csv
[2025-06-24 05:29:09]   38 | INFO     | Downloading data from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv
[2025-06-24 05:29:13]   14 | INFO     | Data downloaded successfully from https://github.com/ArpitKadam/Zomato-Delivery-Time-Prediction/raw/refs/heads/main/Research/data.csv and saved to C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\raw_data.csv
[2025-06-24 05:29:13]   40 | INFO     | Data downloaded successfully.
[2025-06-24 05:29:13]   43 | DEBUG    | Reading the raw CSV data...
[2025-06-24 05:29:13]   45 | INFO     | Raw data read successfully with shape: (45584, 20)
[2025-06-24 05:29:13]   48 | INFO     | Splitting raw data into training and test sets...
[2025-06-24 05:29:13]   50 | INFO     | Data split: Train Shape = (36467, 20), Test Shape = (9117, 20)
[2025-06-24 05:29:13]   55 | DEBUG    | Output directories verified.
[2025-06-24 05:29:13]   59 | INFO     | Train data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\train.csv
[2025-06-24 05:29:13]   60 | INFO     | Test data saved at: C:\Projects\Zomato-Delivery-Time-Prediction\Artifacts\Data_Ingestion\test.csv
[2025-06-24 05:29:13]   62 | INFO     | Data Ingestion completed successfully.
[2025-06-24 05:29:13]   76 | INFO     | Data Ingestion Pipeline completed.
[2025-06-24 05:29:13]   19 | INFO     | Data ingestion completed.
[2025-06-24 05:29:13]   21 | INFO     | Starting data transformation...
[2025-06-24 05:29:13]  162 | INFO     | Starting full data transformation process...
[2025-06-24 05:29:13]  165 | DEBUG    | Train shape: (36467, 20), Test shape: (9117, 20)
[2025-06-24 05:29:13]  153 | INFO     | Creating feature engineering pipeline...
[2025-06-24 05:29:15]   65 | INFO     | Initiating feature engineering on dataset...
[2025-06-24 05:29:15]   67 | DEBUG    | Dropping ID column...
[2025-06-24 05:29:15]   70 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-24 05:29:15]   74 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-24 05:29:15]   33 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-24 05:29:15]   51 | INFO     | Distance column successfully calculated and added.
[2025-06-24 05:29:15]   79 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-24 05:29:15]   82 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-24 05:29:16]   85 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-24 05:29:16]   90 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-24 05:29:16]   65 | INFO     | Initiating feature engineering on dataset...
[2025-06-24 05:29:16]   67 | DEBUG    | Dropping ID column...
[2025-06-24 05:29:16]   70 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-24 05:29:16]   74 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-24 05:29:16]   33 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-24 05:29:16]   51 | INFO     | Distance column successfully calculated and added.
[2025-06-24 05:29:16]   79 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-24 05:29:16]   82 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-24 05:29:16]   85 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-24 05:29:16]   90 | INFO     | Feature engineering completed. Returning transformed dataframe.
[2025-06-24 05:29:18]   65 | INFO     | Initiating feature engineering on dataset...
[2025-06-24 05:29:18]   67 | DEBUG    | Dropping ID column...
[2025-06-24 05:29:18]   70 | DEBUG    | Cleaning latitude and longitude values...
[2025-06-24 05:29:18]   74 | DEBUG    | Dropping invalid latitude and longitude rows...
[2025-06-24 05:29:18]   33 | DEBUG    | Calculating distance using Haversine formula...
[2025-06-24 05:29:18]   51 | INFO     | Distance column successfully calculated and added.
[2025-06-24 05:29:18]   79 | DEBUG    | Creating 'Delivery_person_City' from ID...
[2025-06-24 05:29:18]   82 | DEBUG    | Filling missing values in Delivery_person_Ratings...
[2025-06-24 05:29:18]   85 | DEBUG    | Dropping unnecessary columns post transformation...
[2025-06-24 05:29:18]   90 | INFO     | Feature engineering completed. Returning transformed dataframe.
